Materialnummer,Kurztext,Einkaufsbestelltext
1958083,"Getriebe  R77A i=7,74 SEW","Getriebe
Hersteller:                     SEW
Typbezeichnung:                 R77A
N1 Antriebsdrehzahl:            1.400,00 1/min
N2 Abtriebsdrehzahl:            181,00 1/min
Drehmoment:                     610,00 NM
Getriebeübersetzung i:          7,740
Bauform:                        M1
Getriebeausführung:             Stirnradgetriebe"
1968299,GT-Motor RF37DRN90L2TH,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 RF37 DRN90L2/TH
Leistung [kW]:                  2,200 kW
Antriebsmoment (max):           144,00 Nm
Antriebsmoment (nenn):          48,00 Nm
N1 Antriebsdrehzahl:            2.905,00 1/min
N2 Abtriebsdrehzahl:            436,00 1/min
Getriebeübersetzung i:          6,670
Spannung [50Hz]:                230D/400Y
Bauform:                        M6
Baugröße:                       90L (H=90mm/Gehäuseausf.:L)
Klemmkastenlage:                270° Normal
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1960713,GT-Motor FA67DRN100LS4TF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 FA67 DRN100LS4/TF
Leistung [kW]:                  2,200 kW
Antriebsmoment (max):           495,00 Nm
N1 Antriebsdrehzahl:            1.450,00 1/min
N2 Abtriebsdrehzahl:            43,00 1/min
Getriebeübersetzung i:          34,010
Spannung [50Hz]:                230D/400Y
Bauform:                        M1
Baugröße:                       100L (H=100mm/Gehäuseausf.:L)
Klemmkastenlage:                180° Normal
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Fremdlüfter:                    Nein
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1958404,GT-Motor KH67DRN112M4BE5KCCTF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 KH67 DRN112M4/BE5/KCC/TF
Leistung [kW]:                  4,000 kW
N1 Antriebsdrehzahl:            1.464,00 1/min
N2 Abtriebsdrehzahl:            83,00 1/min
Getriebeübersetzung i:          17,540
Spannung [50Hz]:                230D/400Y
Bauform:                        M3A
Baugröße:                       112M (H=112mm/Gehäuseausf.:M)
Klemmkastenlage:                180° Normal
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Motor-Bremse:                   BE5
Bremsgroesse:                   400V AC 55Nm
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1959041,GT-Motor R67DRN112M4TFAL,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 R67DRN112M4TFAL
Leistung [kW]:                  4,000 kW
Antriebsmoment (max):           550,00 Nm
Antriebsmoment (nenn):          390,00 Nm
N1 Antriebsdrehzahl:            1.464,00 1/min
N2 Abtriebsdrehzahl:            98,00 1/min
Getriebeübersetzung i:          14,910
Spannung [50Hz]:                220-230D/380-400Y
Bauform:                        M3
Baugröße:                       112M (H=112mm/Gehäuseausf.:M)
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1898164,Lager 3305 A SKF,"Schrägkugellager 2-reihig
3305 A
SKF"
1957018,GT-Motor R103DV160M4,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 R103DV160M4
Leistung [kW]:                  11,000 kW
N1 Antriebsdrehzahl:            1.440,00 1/min
Abt.drehzahl pol-schaltbar N2:  42,00 1/min
Bauform:                        B3
Isolierklasse:                  Iso-Kl.:B (tmax=130°C)
Schutzart:                      IP54-Staubablage/Spritzwasser"
1970040,GT-Motor KH77TDRN100LS4BE5TH,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 KH77TDRN100LS4BE5TH
Leistung [kW]:                  2,200 kW
Antriebsmoment (max):           1.550,00 NM
Antriebsmoment (nenn):          1.130,00 NM
N1 Antriebsdrehzahl:            1.450,00 1/min
N2 Abtriebsdrehzahl:            19,00 1/min
Getriebeübersetzung i:          78,070
Spannung [50Hz]:                230D/400Y
Bauform:                        M1A
Klemmkastenlage:                180 NORMAL
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Motor-Bremse:                   Ja
Bremsgroesse:                   230VAC 55NM
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1964138,GT-Motor R97DRN132M4TF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 R97DRN132M4TF
Leistung [kW]:                  7,500 kW
Antriebsmoment (nenn):          1.090,00 NM
N1 Antriebsdrehzahl:            1.468,00 1/min
N2 Abtriebsdrehzahl:            66,00 1/min
Getriebeübersetzung i:          22,370
Spannung [50Hz]:                230D/400Y
Baugröße:                       132
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1958358,GT-Motor KA87DRN180L4TF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 KA87 DRN180L4/TF
Leistung [kW]:                  22,000 kW
Antriebsmoment (max):           2.300,00 Nm
N1 Antriebsdrehzahl:            1.477,00 1/min
N2 Abtriebsdrehzahl:            76,00 1/min
Getriebeübersetzung i:          19,450
Spannung [50Hz]:                380-400D/660-690Y
Bauform:                        M3-M4A/45°
Baugröße:                       180L (H=180mm/Gehäuseausf.: L)
Klemmkastenlage:                Normal
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1860374,Servomotor AM8052-0L20-0000,"Servomotor
Herstellerteilenummer:          105061_BECKHOFF
Hersteller:                     Beckhoff
Typbezeichnung:                 AM8052-0L20-0000
N1 Antriebsdrehzahl:            7.300,00 1/min
Antriebsmoment:                 8,20 NM
Spannung [50Hz]:                400V
Bauform:                        B5
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser"
1960662,GT-Motor R97DRN132S4TFV,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 R97DRN132S4TFV
Leistung [kW]:                  5,500 kW
Antriebsmoment (max):           3.000,00 NM
Antriebsmoment (nenn):          4.560,00 NM
N1 Antriebsdrehzahl:            1.461,00 1/min
N2 Abtriebsdrehzahl:            12,00 1/min
Getriebeübersetzung i:          126,750
Spannung [50Hz]:                230D/400Y
Bauform:                        M1
Klemmkastenlage:                Normal
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Fremdlüfter:                    400V
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1959031,GT-Motor R77DRN100L4TFEK8R,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 R77DRN100L4TFEK8R
Leistung [kW]:                  3,000 kW
Antriebsmoment (max):           420,00 Nm
Antriebsmoment (nenn):          820,00 Nm
N1 Antriebsdrehzahl:            1.456,00 1/min
N2 Abtriebsdrehzahl:            82,00 1/min
Getriebeübersetzung i:          21,430
Spannung [50Hz]:                220-230D/380-400Y
Bauform:                        M3
Baugröße:                       100L (H=100mm/Gehäuseausf.:L)
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1958383,GT-Motor K77DRN112M4TFAL,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 K77 DRN112M4/TF/AL
Leistung [kW]:                  4,000 kW
Antriebsmoment (max):           1.550,00 Nm
Antriebsmoment (nenn):          1.040,00 Nm
N1 Antriebsdrehzahl:            1.464,00 1/min
N2 Abtriebsdrehzahl:            37,00 1/min
Getriebeübersetzung i:          40,040
Spannung [50Hz]:                220-230D/380-400Y
Bauform:                        M1A
Baugröße:                       112M (H=112mm/Gehäuseausf.:M)
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1959044,GT-Motor R27DRN80M4TFAL,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 R27 DRN80M4/TF/AL
Leistung [kW]:                  0,750 kW
Antriebsmoment (max):           130,00 Nm
Antriebsmoment (nenn):          66,00 Nm
N1 Antriebsdrehzahl:            1.440,00 1/min
N2 Abtriebsdrehzahl:            108,00 1/min
Getriebeübersetzung i:          13,280
Spannung [50Hz]:                220-230D/380-400Y
Bauform:                        M6
Baugröße:                       80M (H=80mm/Gehäuseausf.:M)
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1958379,GT-Motor KA97TR57DRN80MK4TFEK8RAL,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 KA97TR57DRN80MK4TFEK8RAL
Leistung [kW]:                  0,550 kW
Antriebsmoment (max):           4.300,00 Nm
Antriebsmoment (nenn):          2.460,00 Nm
N1 Antriebsdrehzahl:            1.435,00 1/min
N2 Abtriebsdrehzahl:            1,90 1/min
Getriebeübersetzung i:          743,000
Spannung [50Hz]:                220-24D/380-415Y
Bauform:                        M4B
Baugröße:                       80M (H=80mm/Gehäuseausf.:M)
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1961121,GT-Motor R87DRN132M4,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 R87DRN132M4
Leistung [kW]:                  7,500 kW
Antriebsmoment (max):           1.390,00 NM
Antriebsmoment (nenn):          830,00 NM
N1 Antriebsdrehzahl:            1.468,00 1/min
N2 Abtriebsdrehzahl:            86,00 1/min
Getriebeübersetzung i:          17,080
Spannung [50Hz]:                380-400D/660-690Y
Bauform:                        M1
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Energieeffizienzklasse:         IE3 Premium Efficiency"
1958384,GT-Motor FA47GDRN90S4TFAL,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 FA47/G DRN90S4/TF/AL
Leistung [kW]:                  1,100 kW
Antriebsmoment (max):           450,00 Nm
Antriebsmoment (nenn):          79,00 Nm
N1 Antriebsdrehzahl:            1.455,00 1/min
N2 Abtriebsdrehzahl:            133,00 1/min
Getriebeübersetzung i:          10,970
Spannung [50Hz]:                220-230D/380-400Y
Bauform:                        M5
Baugröße:                       90S (H=90mm/Gehäuseausf.:S)
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1326130,"Kette 08A-3 12,7 1/2""x7,85mm DIN8188","Kette
08A-3
Teilung: 12,7
Teilung: 1/2""
Innere breite: 7,85mm
DIN 8188
ASA 40-3"
1810552,Wellendichtring 35x62x7 HMS5RG SKF,"Wellendichtring
35x62x7
HMS5RG
SKF"
1330560,Keilriemen SPZ 2500 LW OPTIBELT,"Keilriemen
SPZ-2500
Wirklänge                      2.500,0 mm
Außenlänge                     2.513,0 mm
Innenlänge                     2.462,0 mm
OPTIBELT"
1330663,"Kette 08A-2 12,7 1/2”x7,85mm DIN8188","Kette
08A-2
Teilung: 12,7
Teilung: 1/2""
Innere breite: 7,85mm
DIN 8188
ASA40"
1820982,Modul 6SN1123-1AA00-0CA1 SIEMENS,Modul 6SN1123-1AA00-0CA1 SIEMENS
1813919,Servomotor 1PH7101-7JF03-0BB3-Z M39,"Servomotor
Hersteller:                     Siemens
Typbezeichnung:                 1PH7101-7JF03-0BB3-Z M39
Leistung [kW]:                  3,800 kW
N1 Antriebsdrehzahl:            1.750,00 1/min
Spannung [50Hz]:                398Y
Baugröße:                       B35
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser"
1813928,Servomotor 1PH7163-7HF33-0BB3-Z M39,"Servomotor
Hersteller:                     Siemens
Typbezeichnung:                 1PH7163-7HF33-0BB3-Z M39
Leistung [kW]:                  31,000 kW
N1 Antriebsdrehzahl:            1.750,00 1/min
Spannung [50Hz]:                364Y
Bauform:                        B35
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser"
1813952,Servomotor 1PH7167-7HG33-0BB3-Z M39,"Servomotor
Hersteller:                     Siemens
Typbezeichnung:                 1PH7167-7HG33-0BB3-Z M39
Leistung [kW]:                  40,000 kW
N1 Antriebsdrehzahl:            2.300,00 1/min
Spannung [50Hz]:                400Y
Bauform:                        B35
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser"
1814145,Servomotor 1PH8186-1HF132BD1-Z,"Servomotor
Hersteller:                     Siemens
Typbezeichnung:                 1PH8186-1HF132BD1-Z
Leistung [kW]:                  94,000 kW
N1 Antriebsdrehzahl:            2.200,00 1/min
Bauform:                        B35
Isolierklasse:                  Iso-Kl.:H (tmax=180°C)
Schutzart:                      IP55-Staubablage/Strahlwasser"
139088,Wellendichtring 35x62x10 BASL,"Wellendichtring
35x62x10
BASL"
1818152,Servomotor 1FT6086-8AH71-1EB0,"Servomotor
Hersteller:                     Siemens
Typbezeichnung:                 1FT6086-8AH71-1EB0
N1 Antriebsdrehzahl:            4.500,00 1/min
Antriebsmoment:                 10,80 NM
Spannung [50Hz]:                333V
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP64-Staubdicht/Spritzwasser
Motor-Bremse:                   Nein"
1818172,Servomotor 1FT6105-8AF71-1EB0,"Servomotor
Hersteller:                     Siemens
Typbezeichnung:                 1FT6105-8AF71-1EB0
N1 Antriebsdrehzahl:            3.000,00 1/min
Antriebsmoment:                 28,00 NM
Spannung [50Hz]:                297V
Schutzart:                      IP64-Staubdicht/Spritzwasser
Motor-Bremse:                   Ja"
1806163,Servomotor 1FT7108-5SF71-1CB0-Z,"Servomotor
Hersteller:                     Siemens
Typbezeichnung:                 1FT7108-5SF71-1CB0-Z
N1 Antriebsdrehzahl:            6.000,00 1/min
Antriebsmoment:                 60,00 NM
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Motor-Bremse:                   24DC"
1806170,Servomotor 1FK7105-2AF71-1RB0-Z,"Servomotor
Hersteller:                     Siemens
Typbezeichnung:                 1FK7105-2AF71-1RB0-Z
N1 Antriebsdrehzahl:            3.000,00 1/min
N1 Antriebsdrehzahl:            5.000,00 1/min
Antriebsmoment:                 26,00 NM
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP64-Staubdicht/Spritzwasser
Motor-Bremse:                   24DC"
1806172,Servomotor 1FT7105-5SF70-1CA0,"Servomotor
Hersteller:                     Siemens
Typbezeichnung:                 1FT7105-5SF70-1CA0
N1 Antriebsdrehzahl:            3.000,00 1/min
Antriebsmoment:                 48,00 NM
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser"
1806200,Servomotor 1PH7133-7HF03-0BB3-ZNOYF,"Servomotor
Hersteller:                     Siemens
Typbezeichnung:                 1PH7133-7HF03-0BB3-ZNOYF
Leistung [kW]:                  13,500 kW
N1 Antriebsdrehzahl:            1.500,00 1/min
Bauform:                        B35
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser"
1805162,Servomotor 1FT7105-5AF71-CB0-Z,"Servomotor
Hersteller:                     Siemens
Typbezeichnung:                 1FT7105-5AF71-CB0-Z
N1 Antriebsdrehzahl:            3.000,00 1/min
Antriebsmoment:                 28,00 NM
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser"
185854,"Kette 08A-1 12,70 1/2""x7,85mm DIN8188","Einfach Rollenkette
08A-1
Teilung: 12,70mm (1/2"")
Innere Breite: 7,85mm
DIN 8188

40R5MT_HITACHI
L85AANSI40_IWIS"
175254,Wellendichtring 35x65x10 BASL,"Wellendichtring
35x65x10
BASL"
826630,Keilriemen SPA 2532 LW,"Keilriemen
SPA 2532mm LW
Wirklänge ISO LW 2532mm
Innenlänge LI 2487mm
Außenlänge LA 2550mm"
1908717,Lager E1K C3 23152 SKF,"Lager
E1K C3
23152
SKF"
1904131,Lager NU320ECJ SKF,"Lager
NU320ECJ
SKF"
1904507,Lager 1210 SKF,"Lager
1210
SKF"
1960351,GT-Motor SA57DRN90L4,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 SA57DRN90L4
Leistung [kW]:                  1,500 kW
Antriebsmoment (max):           168,00 NM
N1 Antriebsdrehzahl:            1.461,00 1/min
N2 Abtriebsdrehzahl:            89,00 1/min
Getriebeübersetzung i:          16,470
Spannung [50Hz]:                230D/400Y
Bauform:                        M1A
Klemmkastenlage:                270 NORMAL
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Energieeffizienzklasse:         IE3 Premium Efficiency"
108665,Wellendichtring 35x62x7 BASL,"Wellendichtring
35x62x7
BASL"
469489,Mutter M8 DIN6334 L=24mm verz.,"Verlängerungsmutter 3d hoch
M8 L = 24mm
DIN 6334
Automatenstahl
verzinkt"
1617605,Keilriemen SPA 2500 LW Red Power,"Keilriemen
SPA 2.500 mm LW Red Power
Wirklänge ISO LW 2.500 mm
Innenlänge LI 2.455 mm
Außenlänge LA 2.518 mm"
